	bg	ed	ed30	ed60	ed100
hairpin_loop	9797	16264	11911	3275	1078
interior_loop	6162	3525	2807	558	160
multi_loop	3297	1465	1173	223	69
stem	10249	4780	3815	739	226
free	495	28	24	3	1
